Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Points (Total),id,Date_earliest,song_count,Points (Total)_grouped,date_difference,total_points,average_point,artist_count
2023-05-29,0.668,0.758,-5176.0,0.033,0.483,0.0,0.834,200,3qQbCzHBycnDpGskqOWY0E,2023-04-28,32,6385,31 days,73810.999999993,10544.428571427572,2
2023-05-29,0.652,0.8,-4019.0,0.061,0.143,0.629,0.234,199,7ro0hRteUMfnOioTFI5TG1,2023-05-19,11,2188,10 days,1262144.166666687,180306.30952381244,1
2023-05-29,0.812,0.479,-5678.0,0.333,0.213,0.0,0.559,198,2UW7JaomAMuX9pZrjVpHAU,2023-03-18,73,13806,72 days,75040.999999993,10720.142857141858,2
2023-05-29,0.783,0.592,-8332.0,0.033,0.435,0.0,0.726,197,7FbrGaHYVDmfr7KoLIZnQ7,2023-04-01,59,11418,58 days,15866.0,2266.5714285714284,1
2023-05-29,0.569,0.724,-4076.0,0.047,0.228,0.0,0.562,196,6pD0ufEQq0xdHSsRbg9LBK,2023-04-17,43,8559,42 days,1311594.166666687,187370.59523809812,2
2023-05-29,0.707,0.681,-4325.0,0.067,0.063,0.0,0.646,195,4DHcnVTT87F0zZhRPYmZ3B,2023-03-10,81,16026,80 days,138150.0,19735.714285714286,1
2023-05-29,0.508,0.43,-9475.0,0.034,0.83,0.0,0.324,194,1odExI7RdWc4BT515LTAwj,2023-04-14,46,8924,45 days,9300.0,1328.571428571429,1
2023-05-29,0.644,0.735,-5747.0,0.039,0.052,0.144,0.418,193,1Qrg8KqiBpW07V7PNxwwwL,2022-12-09,172,33857,171 days,191285.5,27326.5,1
2023-05-29,0.52,0.731,-5338.0,0.056,0.342,0.001,0.662,192,4Dvkj6JhhA12EX05fT7y2e,2022-05-20,375,73310,374 days,589001.0,84143.0,1
2023-05-29,0.72,0.63,-3547.0,0.277,0.673,0.0,0.607,191,0DWdj2oZMBFSzRsi2Cvfzf,2023-02-24,95,18579,94 days,452055.0,64579.28571428571,2
2023-05-29,0.859,0.658,-4.79,0.159,0.145,0.0,0.672,190,6XSqqQIy7Lm7SnwxS4NrGx,2023-03-31,60,10803,59 days,175325.833333331,25046.547619047284,2
2023-05-29,0.786,0.853,-4955.0,0.059,0.273,0.0,0.963,189,368eeEO3Y2uZUQ6S5oIjcu,2023-05-19,11,1957,10 days,21578.5,3082.6428571428573,1
2023-05-29,0.637,0.643,-6571.0,0.052,0.13,0.0,0.533,188,0V3wPSX9ygBnCm8psDIegu,2022-10-21,221,41444,220 days,632092.5,90298.92857142857,1
2023-05-29,0.799,0.802,-5196.0,0.037,0.429,0.001,0.811,187,1s7oOCT8vauUh01PbJD6ps,2023-04-28,32,5932,31 days,242123.0,34589.0,2
2023-05-29,0.715,0.62,-6005.0,0.048,0.417,0.0,0.172,186,2dHHgzDwk4BJdRwy9uXhTO,2022-12-02,175,33502,178 days,1173465.66666668,167637.9523809543,3
2023-05-29,0.575,0.5,-7594.0,0.071,0.227,0.0,0.506,185,4W4fNrZYkobj539TOWsLO2,2023-03-14,76,14311,76 days,1605713.0,229387.57142857145,2
2023-05-29,0.715,0.681,-4.25,0.113,0.129,0.0,0.277,184,1vvcEHQdaUTvWt0EIUYcFK,2023-05-19,11,2043,10 days,223809.0,31972.714285714286,5
2023-05-29,0.558,0.559,-9222.0,0.096,0.371,0.0,0.62,183,7KA4W4McWYRpgf0fWsJZWB,2017-07-21,86,9726,2138 days,51900.33333334,7414.333333334286,3
2023-05-29,0.672,0.642,-4035.0,0.031,0.098,0.0,0.494,182,1daDRI9ahBonbWD8YcxOIB,2020-11-27,78,8180,913 days,138150.0,19735.714285714286,1
2023-05-29,0.492,0.675,-5456.0,0.039,0.467,0.0,0.478,181,7K3BhSpAxZBznislvUMVtn,2023-03-03,88,15741,87 days,36710.0,5244.285714285715,1
2023-05-29,0.768,0.644,-6671.0,0.136,0.736,0.001,0.53,180,609E1JCInJncactoMmkDon,2023-03-24,67,12708,66 days,443808.333333323,63401.19047618901,2
