id,Date_earliest,Nationality_Summed_Points,Nationality_count,Summed_Points,artist_count,Points (Total),song_count,Artists,Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence
3qQbCzHBycnDpGskqOWY0E,2023-04-28,5280.0,2,216.0,2,12770,64,"Eslabon Armado, Peso Pluma",2023-05-29,0.668,0.758,-5176.0,0.033,0.483,0.0,0.834
7ro0hRteUMfnOioTFI5TG1,2023-05-19,9940.366666656999,1,1968.0,1,2188,11,Bad Bunny,2023-05-29,0.652,0.8,-4019.0,0.061,0.143,0.629,0.234
2UW7JaomAMuX9pZrjVpHAU,2023-03-18,4866.0,2,16.0,2,27612,146,"Yng Lvcas, Peso Pluma",2023-05-29,0.812,0.479,-5678.0,0.333,0.213,0.0,0.559
7FbrGaHYVDmfr7KoLIZnQ7,2023-04-01,15945.0,1,174.0,1,11418,59,FIFTY FIFTY,2023-05-29,0.783,0.592,-8332.0,0.033,0.435,0.0,0.726
6pD0ufEQq0xdHSsRbg9LBK,2023-04-17,12312.366666656999,2,3902.0,2,17118,86,"Grupo Frontera, Bad Bunny",2023-05-29,0.569,0.724,-4076.0,0.047,0.228,0.0,0.562
4DHcnVTT87F0zZhRPYmZ3B,2023-03-10,192279.5,1,1213.0,1,16026,81,Miley Cyrus,2023-05-29,0.707,0.681,-4325.0,0.067,0.063,0.0,0.646
1odExI7RdWc4BT515LTAwj,2023-04-14,195570.5,1,4.0,1,8924,46,David Kushner,2023-05-29,0.508,0.43,-9475.0,0.034,0.83,0.0,0.324
1Qrg8KqiBpW07V7PNxwwwL,2022-12-09,179794.5,1,476.0,1,33857,172,SZA,2023-05-29,0.644,0.735,-5747.0,0.039,0.052,0.144,0.418
4Dvkj6JhhA12EX05fT7y2e,2022-05-20,31738.0,1,1477.0,1,35795,181,Harry Styles,2023-05-29,0.52,0.731,-5338.0,0.056,0.342,0.001,0.662
0DWdj2oZMBFSzRsi2Cvfzf,2023-02-24,13166.133333334,2,525.0,2,37158,190,"KAROL G, Shakira",2023-05-29,0.72,0.63,-3547.0,0.277,0.673,0.0,0.607
6XSqqQIy7Lm7SnwxS4NrGx,2023-03-31,16661.433333324,2,0.0,2,21606,120,"Feid, Young Miko",2023-05-29,0.859,0.658,-4.79,0.159,0.145,0.0,0.672
368eeEO3Y2uZUQ6S5oIjcu,2023-05-19,2756.666666666,1,49.5,1,1957,11,Fuerza Regida,2023-05-29,0.786,0.853,-4955.0,0.059,0.273,0.0,0.963
0V3wPSX9ygBnCm8psDIegu,2022-10-21,174561.5,1,9859.0,1,34302,181,Taylor Swift,2023-05-29,0.637,0.643,-6571.0,0.052,0.13,0.0,0.533
