id,song_count,Summed_Points,artist_count,Points (Total),Artists,Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Nationality_Summed_Points,Nationality_count,Date_earliest
3qQbCzHBycnDpGskqOWY0E,,216.0,2,12770,"Eslabon Armado, Peso Pluma",2023-05-29,0.668,0.758,-5176.0,0.033,0.483,0.0,0.834,1408.0,2,2023-04-28
7ro0hRteUMfnOioTFI5TG1,,235.0,1,2188,Bad Bunny,2023-05-29,0.652,0.8,-4019.0,0.061,0.143,0.629,0.234,1422.0,1,2023-05-19
2UW7JaomAMuX9pZrjVpHAU,,16.0,2,27612,"Yng Lvcas, Peso Pluma",2023-05-29,0.812,0.479,-5678.0,0.333,0.213,0.0,0.559,1292.0,2,2023-03-18
7FbrGaHYVDmfr7KoLIZnQ7,,174.0,1,11418,FIFTY FIFTY,2023-05-29,0.783,0.592,-8332.0,0.033,0.435,0.0,0.726,2132.0,1,2023-04-01
6pD0ufEQq0xdHSsRbg9LBK,,444.0,2,17118,"Grupo Frontera, Bad Bunny",2023-05-29,0.569,0.724,-4076.0,0.047,0.228,0.0,0.562,2723.166666657,2,2023-04-17
4DHcnVTT87F0zZhRPYmZ3B,,261.0,1,16026,Miley Cyrus,2023-05-29,0.707,0.681,-4325.0,0.067,0.063,0.0,0.646,19061.0,1,2023-03-10
1odExI7RdWc4BT515LTAwj,,0.0,1,8924,David Kushner,2023-05-29,0.508,0.43,-9475.0,0.034,0.83,0.0,0.324,21270.0,1,2023-04-14
1Qrg8KqiBpW07V7PNxwwwL,,132.0,1,33857,SZA,2023-05-29,0.644,0.735,-5747.0,0.039,0.052,0.144,0.418,11112.0,1,2022-12-09
4Dvkj6JhhA12EX05fT7y2e,,200.0,1,35795,Harry Styles,2023-05-29,0.52,0.731,-5338.0,0.056,0.342,0.001,0.662,3361.0,1,2022-05-20
0DWdj2oZMBFSzRsi2Cvfzf,,51.0,2,37158,"KAROL G, Shakira",2023-05-29,0.72,0.63,-3547.0,0.277,0.673,0.0,0.607,1921.333333334,2,2023-02-24
6XSqqQIy7Lm7SnwxS4NrGx,,0.0,2,21606,"Feid, Young Miko",2023-05-29,0.859,0.658,-4.79,0.159,0.145,0.0,0.672,3081.833333324,2,2023-03-31
368eeEO3Y2uZUQ6S5oIjcu,,49.5,1,1957,Fuerza Regida,2023-05-29,0.786,0.853,-4955.0,0.059,0.273,0.0,0.963,820.666666666,1,2023-05-19
0V3wPSX9ygBnCm8psDIegu,183.0,80.0,1,34302,Taylor Swift,2023-05-29,0.637,0.643,-6571.0,0.052,0.13,0.0,0.533,9958.0,1,2022-10-21
1s7oOCT8vauUh01PbJD6ps,,226.0,2,11864,"Rema, Selena Gomez",2023-05-29,0.799,0.802,-5196.0,0.037,0.429,0.001,0.811,20225.0,2,2023-04-28
2dHHgzDwk4BJdRwy9uXhTO,175.0,580.5,3,100506,"Metro Boomin, The Weeknd, 21 Savage",2023-05-29,0.715,0.62,-6005.0,0.048,0.417,0.0,0.172,13049.0,3,2022-12-02
4W4fNrZYkobj539TOWsLO2,,762.0,2,28622,"The Weeknd, Ariana Grande",2023-05-29,0.575,0.5,-7594.0,0.071,0.227,0.0,0.506,22063.5,2,2023-03-14
1vvcEHQdaUTvWt0EIUYcFK,,189.00000000000003,5,10215,"Kodak Black, NLE Choppa, Jimin, JVKE, Muni Long",2023-05-29,0.715,0.681,-4.25,0.113,0.129,0.0,0.277,80254.599999996,5,2023-05-19
7KA4W4McWYRpgf0fWsJZWB,7.0,0.0,3,335,"Tyler, The Creator, Kali Uchis",2023-05-29,0.558,0.559,-9222.0,0.096,0.371,0.0,0.62,8768.0,2,2017-07-21
1daDRI9ahBonbWD8YcxOIB,17.0,349.0,1,1024,Miley Cyrus,2023-05-29,0.672,0.642,-4035.0,0.031,0.098,0.0,0.494,16486.0,1,2020-11-27
7K3BhSpAxZBznislvUMVtn,,631.0,1,15741,Morgan Wallen,2023-05-29,0.492,0.675,-5456.0,0.039,0.467,0.0,0.478,18397.0,1,2023-03-03
609E1JCInJncactoMmkDon,,632.66666666,2,25416,"ROSALÍA, Rauw Alejandro",2023-05-29,0.768,0.644,-6671.0,0.136,0.736,0.001,0.53,2702.666666657,2,2023-03-24
1haJsMtoBhHfvuM7XWuT3W,,16.0,2,27910,"Junior H, Peso Pluma",2023-05-29,0.558,0.648,-7081.0,0.055,0.226,0.0,0.844,1262.0,2,2023-02-24
5XeFesFbtLpXzIVDNQP22n,,507.0,1,29940,Arctic Monkeys,2023-05-29,0.464,0.417,-9345.0,0.026,0.136,0.022,0.479,2602.0,1,2022-10-08
6T7FXSuXykeGktMLGp8WgE,,231.0,2,1440,"Lil Durk, J. Cole",2023-05-29,0.787,0.57,-5881.0,0.225,0.045,0.0,0.733,39437.399999998,2,2023-05-26
2LBqCSwhJGcFQeTHMVGwy3,,0.0,1,614,The Weeknd,2023-05-29,0.586,0.525,-7163.0,0.062,0.111,0.0,0.508,0.0,1,2017-01-01
4FAKtPVycI4DxoOHC01YqD,,863.333333334,2,51372,"Yandel, Feid",2023-05-29,0.783,0.729,-3549.0,0.069,0.049,0.0,0.58,2245.833333324,2,2023-01-13
7txjUEY6McJDJKqIo1Rxjp,,40.5,1,3045,Shakira,2023-05-29,0.748,0.478,-8886.0,0.121,0.837,0.0,0.353,778.666666667,1,2023-05-12
6AQbmUe0Qwf5PZnt4HmTXv,135.0,0.0,2,44013,"PinkPantheress, Ice Spice",2023-05-29,0.696,0.809,-8254.0,0.05,0.252,0.0,0.857,2665.0,2,2022-12-05
6GGtHZgBycCgGBUhZo81xe,,191.0,1,1905,Lana Del Rey,2023-05-29,0.49,0.352,-11577.0,0.025,0.709,0.086,0.166,19407.199999999,1,2023-05-19
1BxfuPKGuaTgP7aM0Bbdwr,35.0,741.0,1,3866,Taylor Swift,2023-05-29,0.552,0.702,-5707.0,0.157,0.117,0.0,0.564,16311.0,1,2019-08-23
4uUG5RXrOk84mYEfFvj3cK,185.0,0.0,2,69574,"David Guetta, Bebe Rexha",2023-05-29,0.561,0.965,-3673.0,0.034,0.004,0.0,0.304,10233.0,2,2022-08-26
78Sw5GDo6AlGwTwanjXbGh,179.0,0.0,1,28003,d4vd,2023-05-29,0.574,0.469,-8209.0,0.025,0.534,0.0,0.288,10732.0,1,2022-10-23
3xYJScVfxByb61dYHTwiby,,494.0,1,726,Taylor Swift,2023-05-29,0.672,0.782,-6499.0,0.042,0.148,0.0,0.239,19718.699999999,1,2023-05-26
