id,nationality_points,nationality_songs_counted,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,song_count,artists_points,artists_songs_counted
1Qrg8KqiBpW07V7PNxwwwL,1333537.000000091,18313.0,0.644,0.735,-5747.0,0.039,0.052,0.144,0.418,172,9855.0,169.0
4Dvkj6JhhA12EX05fT7y2e,589607.0,6634.0,0.52,0.731,-5338.0,0.056,0.342,0.001,0.662,185,43888.0,410.0
5XeFesFbtLpXzIVDNQP22n,660652.0,7393.0,0.464,0.417,-9345.0,0.026,0.136,0.022,0.479,183,44532.0,501.0
5odlY52u43F5BjByhxg7wg,1303786.0,18395.0,0.515,0.593,-4801.0,0.032,0.653,0.162,0.153,183,6871.0,62.0
1Y3LN4zO1Edc2EluIoSPJN,1322517.000000091,18143.0,0.551,0.55,-5339.0,0.029,0.777,0.0,0.342,178,30825.0,182.0
2QjOHCTQ1Jl3zawyYOpxh6,1911407.0,21593.0,0.612,0.807,-2.81,0.034,0.05,0.018,0.398,177,0.0,0.0
2tTmW7RDtMQtBk7m2rYeSw,69196.0,1644.0,0.621,0.782,-5548.0,0.044,0.013,0.033,0.55,185,13790.0,360.0
2mnXxnrX5vCGolNkaFvVeM,524763.999999983,6852.0,0.887,0.234,-14.52,0.178,0.111,0.67,0.197,179,340152.0,3608.0
1xK59OXxi2TAAAbmZK0kBL,1377320.0,19220.0,0.571,0.544,-10613.0,0.03,0.453,0.008,0.216,182,0.0,0.0
5O2P9iiztwhomNh8xkR9lJ,349847.0,3200.0,0.672,0.52,-7747.0,0.035,0.859,0.0,0.37,1,86.0,2.0
5wG3HvLhF6Y5KTGlK0IW3J,1321502.000000091,18124.0,0.571,0.549,-7.38,0.404,0.18,0.0,0.447,90,4285.66666667,116.0
5jQI2r1RdgtuT8S3iG8zFC,1292008.0,18286.0,0.733,0.436,-10489.0,0.08,0.258,0.001,0.098,181,21942.0,258.0
7qEHsqek33rTcFNT9PFqLf,476162.0,5622.0,0.501,0.405,-5679.0,0.032,0.751,0.0,0.446,185,17170.0,137.0
0u2P5u6lvoDfwTYjAADbn4,1490092.0,17057.0,0.351,0.296,-10109.0,0.033,0.934,0.0,0.12,182,31664.0,308.0
4RvWPyQ5RL0ao9LPZeSouE,589843.0,6609.0,0.645,0.795,-12095.0,0.053,0.347,0.004,0.535,150,0.0,0.0
2WfaOiMkCvy7F5fcp2zZ8L,44715.0,933.0,0.573,0.902,-7638.0,0.054,0.018,0.001,0.876,5,0.0,0.0
3AVrVz5rK8Hrqo9YGiVGN5,1419051.0,19378.0,0.369,0.467,-9018.0,0.027,0.019,0.46,0.174,176,0.0,0.0
6VhuP99TE6gYNQRJIlAWFD,1380475.0,19064.0,0.346,0.5,-6097.0,0.039,0.757,0.0,0.191,185,16027.0,102.0
4FyesJzVpA39hbYvcseO2d,1295468.0,18299.0,0.486,0.545,-7924.0,0.034,0.065,0.005,0.039,183,101.0,3.0
4ewazQLXFTDC8XvCbhvtXs,30152.0,193.0,0.44,0.317,-9258.0,0.053,0.891,0.0,0.268,181,30136.0,191.0
0B7wvvmu9EISAwZnOpjhNI,1767939.0,18880.0,0.601,0.271,-8688.0,0.04,0.937,0.0,0.411,11,2199.0,48.0
5gDWsRxpJ2lZAffh5p7K0w,272010.0,4141.0,0.715,0.47,-12638.0,0.077,0.353,0.092,0.426,164,107618.0,1374.0
2ksyzVfU0WJoBpu8otr4pz,0.0,0.0,0.593,0.641,-12727.0,0.099,0.426,0.901,0.147,158,0.0,0.0
1JSTJqkT5qHq8MDJnJbRE1,419789.0,5155.0,0.82,0.452,-9796.0,0.035,0.543,0.003,0.74,44,53.0,1.0
0nrRP2bk19rLc0orkWPQk2,9435.0,127.0,0.532,0.783,-5697.0,0.052,0.004,0.001,0.643,28,245.0,29.0
1zi7xx7UVEFkmKfv06H8x0,179277.0,1430.0,0.792,0.625,-5609.0,0.054,0.008,0.002,0.37,93,88305.0,613.0
3hRV0jL3vUpRrcy398teAU,1760858.0,18872.0,0.544,0.369,-9514.0,0.038,0.969,0.279,0.102,13,0.0,0.0
1wtOxkiel43cVs0Yux5Q4h,1292008.0,18286.0,0.663,0.319,-13481.0,0.038,0.69,0.001,0.193,65,31796.0,442.0
1v7L65Lzy0j0vdpRjJewt1,2064605.0,24586.0,0.686,0.735,-4616.0,0.264,0.009,0.001,0.06,20,23346.0,200.0
21jGcNKet2qwijlDFuPiPb,2036241.0,22157.0,0.695,0.762,-3497.0,0.04,0.192,0.002,0.553,183,143420.0,1238.0
