author,points_sum,points in 2017,points in 2018,points in 2019,points in 2020,points in 2021,points in 2022,points in 2023
Bad Bunny,1262144.166666687,27175.0,86172.0,141372.0,228334.0,139932.666666687,536082.0,103076.5
Ed Sheeran,1208748.0,354917.0,170725.0,228527.0,118523.0,144045.0,155170.0,36841.0
Post Malone,1067605.5,93164.0,344822.0,343503.0,142362.0,72988.5,58182.0,12584.0
The Weeknd,922058.83333333,64658.0,57814.0,16449.0,153986.0,213492.0,284309.0,131350.83333333
Billie Eilish,866391.5,0.0,67465.0,337965.0,214925.0,173094.0,62992.0,9950.5
Drake,863037.6666667011,167469.0,272225.0,79305.0,100693.0,142859.000000006,78088.50000003,22398.166666664998
Ariana Grande,683654.16666667,28574.0,126399.0,248744.0,130464.0,108434.16666667,28775.0,12264.0
Dua Lipa,670573.83333332,62310.0,111245.0,37413.0,166823.0,197499.0,87755.83333333,7527.99999999
Taylor Swift,632092.5,65770.0,17589.0,99878.0,83747.0,84955.0,172570.5,107583.0
XXXTENTACION,598172.0,71378.0,325433.0,109708.0,54665.0,20628.0,13702.0,2658.0
Harry Styles,589001.0,34051.0,298.0,35722.0,158654.0,100233.0,210289.0,49754.0
Imagine Dragons,575616.5,109182.0,144788.0,88668.0,33444.0,57369.5,102954.0,39211.0
J Balvin,557097.33333334,77298.0,113107.0,127047.0,168911.0,54848.83333334,14464.5,1421.0
Justin Bieber,541378.666666677,87617.0,17898.0,5121.0,128503.0,177938.166666677,102849.0,21452.5
Juice WRLD,524816.66666666,0.0,93834.0,105201.0,238527.0,76745.66666665999,10254.0,255.0
Travis Scott,508986.33333335,83034.0,110717.0,83235.0,159944.0,63046.0,5572.666666669999,3437.66666668
Olivia Rodrigo,482187.0,0.0,0.0,0.0,1195.0,312235.0,168627.0,130.0
Doja Cat,444118.5,0.0,0.0,4517.0,89431.0,199335.0,147057.5,3778.0
Khalid,424924.5,101129.0,138510.0,138143.0,14462.0,2387.0,22587.0,7706.5
Ozuna,418206.5,112138.0,113391.0,94641.0,60542.0,8105.0,12347.5,17042.0
BTS,379629.499999977,10861.0,17110.0,35586.0,70606.0,142915.66666666,96218.33333333,6332.499999987001
Eminem,371151.0,29453.0,90979.0,1813.0,59990.0,14588.0,121278.5,53049.5
Lewis Capaldi,361255.0,0.0,0.0,79601.0,136618.0,90049.0,39440.0,15547.0
Lil Nas X,360951.5,0.0,0.0,108805.0,16614.0,128195.0,102412.5,4925.0
Shawn Mendes,331503.5,89188.0,62519.0,66580.0,53052.0,42630.5,17532.0,2.0
Camila Cabello,314065.5,47997.0,99686.0,63931.0,49694.0,30129.5,22583.0,45.0
Maroon 5,311603.0,53516.0,71246.0,60823.0,63567.0,53013.5,9149.5,288.0
KAROL G,300632.0,1673.0,15164.0,31929.0,70458.0,58303.5,74788.0,48316.5
