author,points_sum,points in 01/2017,points in 02/2017,points in 03/2017,points in 04/2017,points in 05/2017,points in 06/2017,points in 07/2017,points in 08/2017,points in 09/2017,points in 10/2017,points in 11/2017,points in 12/2017,points in 01/2018,points in 02/2018,points in 03/2018,points in 04/2018,points in 05/2018,points in 06/2018,points in 07/2018,points in 08/2018,points in 09/2018,points in 10/2018,points in 11/2018,points in 12/2018,points in 01/2019,points in 02/2019,points in 03/2019,points in 04/2019,points in 05/2019,points in 06/2019,points in 07/2019,points in 08/2019,points in 09/2019,points in 10/2019,points in 11/2019,points in 12/2019,points in 01/2020,points in 02/2020,points in 03/2020,points in 04/2020,points in 05/2020,points in 06/2020,points in 07/2020,points in 08/2020,points in 09/2020,points in 10/2020,points in 11/2020,points in 12/2020,points in 01/2021,points in 02/2021,points in 03/2021,points in 04/2021,points in 05/2021,points in 06/2021,points in 07/2021,points in 08/2021,points in 09/2021,points in 10/2021,points in 11/2021,points in 12/2021,points in 01/2022,points in 02/2022,points in 03/2022,points in 04/2022,points in 05/2022,points in 06/2022,points in 07/2022,points in 08/2022,points in 09/2022,points in 10/2022,points in 11/2022,points in 12/2022,points in 01/2023,points in 02/2023,points in 03/2023,points in 04/2023,points in 05/2023
Bad Bunny,1262144.166666687,0.0,0.0,0.0,0.0,2.0,8.0,228.0,3313.0,4988.0,5648.0,6180.0,6808.0,5446.0,6978.0,9412.0,7472.0,7096.0,4800.0,7321.0,6776.0,4430.0,7253.0,8395.0,10793.0,16266.0,12417.0,10607.0,5298.0,6238.0,11912.0,15996.0,15959.0,11867.0,10507.0,11184.0,13121.0,13220.0,14707.0,54033.0,28287.0,34375.0,20966.0,11095.0,9153.0,6297.0,3509.0,13730.0,18962.0,13264.0,11642.0,10287.0,8527.0,6449.0,10988.0,15320.0,15208.0,13121.0,13131.0,10866.0,11129.666666687,14004.0,16514.0,20055.0,18258.0,91979.0,85345.0,76931.0,66296.0,48965.0,37658.0,29887.0,30190.0,29341.0,20310.0,20245.0,16227.0,16953.5
Ed Sheeran,1208748.0,20724.0,19480.0,81418.0,46766.0,29188.0,23935.0,24018.0,21624.0,19454.0,21817.0,20026.0,26467.0,27917.0,20136.0,18919.0,13650.0,14034.0,13193.0,13246.0,12322.0,10945.0,11131.0,9124.0,6108.0,9437.0,7709.0,7576.0,6890.0,14101.0,19949.0,48966.0,31681.0,20265.0,22285.0,21599.0,18069.0,18729.0,15677.0,11316.0,11983.0,11343.0,11609.0,9037.0,8006.0,7035.0,7092.0,3639.0,3057.0,9944.0,9477.0,8044.0,5208.0,4650.0,5489.0,11582.0,13222.0,15482.0,21541.0,22290.0,17116.0,17340.0,15682.0,18683.0,18554.0,15740.0,13558.0,13943.0,12422.0,9922.0,10541.0,4710.0,4075.0,5743.0,5084.0,7523.0,8785.0,9706.0
Post Malone,1067605.5,458.0,2400.0,2773.0,2422.0,3229.0,3442.0,3567.0,3764.0,8038.0,20706.0,22045.0,20320.0,20116.0,17803.0,21972.0,29655.0,82436.0,42946.0,27422.0,24492.0,18929.0,20137.0,19281.0,19633.0,27034.0,21499.0,23606.0,21005.0,19238.0,16124.0,20293.0,21020.0,70364.0,47776.0,32138.0,23406.0,21071.0,17005.0,16522.0,15100.0,13805.0,14138.0,9846.0,8642.0,8018.0,7285.0,5973.0,4957.0,6292.0,5887.0,6357.0,5191.0,4848.0,4364.0,8880.0,8501.0,4497.0,3782.0,7821.0,6568.5,5984.0,4284.0,4765.0,4502.0,4292.0,12374.0,6434.0,5223.0,4309.0,3125.0,1811.0,1079.0,1489.0,1207.0,397.0,3441.0,6050.0
The Weeknd,922058.83333333,18140.0,10476.0,8601.0,5322.0,4183.0,3686.0,3756.0,3272.0,2488.0,2157.0,1420.0,1157.0,875.0,5765.0,8088.0,22550.0,8522.0,5018.0,3030.0,1963.0,1312.0,605.0,21.0,65.0,1973.0,1174.0,0.0,651.0,50.0,0.0,0.0,0.0,0.0,0.0,1334.0,11267.0,10611.0,11221.0,32340.0,21167.0,13859.0,10958.0,10796.0,10051.0,9142.0,7731.0,8119.0,7991.0,13114.0,21431.0,17739.0,15313.0,17111.0,16368.0,18540.0,21770.0,19148.0,19847.0,17243.0,15868.0,55632.0,22111.0,21385.0,17782.0,12869.0,14260.0,23194.0,26058.0,25081.0,24097.0,20742.0,21098.0,26129.0,24263.0,32524.0,26901.0,21533.83333333
Billie Eilish,866391.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,4121.0,5841.0,8196.0,6390.0,3531.0,6681.0,17429.0,14776.0,14577.0,18708.0,30222.0,63184.0,43939.0,31315.0,30636.0,26943.0,20197.0,17125.0,18494.0,22625.0,26661.0,29665.0,24682.0,21848.0,17009.0,15263.0,12647.0,17733.0,13496.0,10188.0,13334.0,12399.0,16368.0,12902.0,13709.0,11157.0,15587.0,13214.0,14343.0,23465.0,11618.0,18375.0,13824.0,8532.0,7846.0,5779.0,6095.0,6747.0,4703.0,4294.0,8022.0,6502.0,4854.0,4004.0,2730.0,1416.0,3479.0,1691.0,1487.0,1561.0,1732.5
Drake,863037.6666667011,17329.0,10974.0,40816.0,30981.0,15148.0,13801.0,14690.0,10896.0,6722.0,3209.0,1720.0,1183.0,6676.0,9902.0,9450.0,14686.0,17841.0,29059.0,75583.0,35490.0,25218.0,19762.0,14984.0,13574.0,13594.0,7858.0,6952.0,3698.0,2660.0,6437.0,7263.0,8490.0,7586.0,7340.0,4280.0,3147.0,3469.0,2279.0,1198.0,7815.0,22068.0,10523.0,9876.0,11363.0,10956.0,9099.0,6844.0,5203.0,5847.0,4067.0,15404.0,10342.0,6647.0,4819.0,4192.0,2743.0,50369.0,20281.0,12748.0,5400.000000006,2268.0,1178.0,1352.0,1288.0,3281.0,18232.0,10129.0,6295.0,3971.0,3267.0,22402.50000003,4425.0,4416.0,3443.0,2831.0,6521.0,5187.166666665
Ariana Grande,683654.16666667,5299.0,3452.0,3718.0,3077.0,1442.0,3659.0,2313.0,1054.0,220.0,4.0,385.0,3951.0,0.0,0.0,0.0,2167.0,6069.0,6733.0,9199.0,28530.0,16303.0,12876.0,19406.0,25116.0,23759.0,51885.0,32831.0,22343.0,16257.0,13344.0,11365.0,16522.0,17113.0,16473.0,14093.0,12759.0,6466.0,5284.0,3386.0,3512.0,8370.0,9112.0,7657.0,6964.0,6385.0,12818.0,36411.0,24099.0,21870.0,17399.0,13174.0,10562.0,9300.0,7019.0,4909.0,6213.0,3288.0,3078.0,3148.0,8474.16666667,4303.0,3286.0,3192.0,2613.0,1684.0,1332.0,1304.0,990.0,754.0,863.0,2658.0,5796.0,695.0,1462.0,4159.0,3253.0,2695.0
Dua Lipa,670573.83333332,1912.0,5327.0,5924.0,4666.0,2573.0,2151.0,4949.0,7420.0,7049.0,7135.0,6556.0,6648.0,11475.0,10748.0,11550.0,10308.0,10162.0,9035.0,8589.0,7931.0,7933.0,8678.0,8143.0,6693.0,8747.0,7841.0,3568.0,1944.0,2015.0,1276.0,115.0,0.0,0.0,0.0,5838.0,6069.0,6210.0,10739.0,17643.0,18884.0,16588.0,15256.0,14268.0,14824.0,11633.0,13743.0,14559.0,12476.0,14556.0,15623.0,18942.0,19838.0,20826.0,18063.0,16572.0,18058.0,16705.0,16840.0,11574.0,9902.0,9105.0,7688.0,11088.0,9508.0,7845.0,11072.0,9751.0,7151.0,5868.0,4463.0,2489.83333333,1727.0,2530.0,1437.0,1026.0,979.0,1555.9999999899999
Taylor Swift,632092.5,3039.0,2678.0,2988.0,2635.0,2274.0,2967.0,1702.0,3052.0,12455.0,12560.0,11335.0,8085.0,4646.0,1442.0,2375.0,4869.0,3087.0,1168.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0,5934.0,8395.0,11143.0,33211.0,22526.0,8756.0,6874.0,2044.0,772.0,3220.0,124.0,0.0,0.0,0.0,22411.0,27894.0,4804.0,328.0,50.0,24144.0,6936.0,6515.0,4313.0,14212.0,240.0,0.0,0.0,0.0,2827.0,2530.0,40479.0,6903.0,5934.0,5466.0,3910.0,2650.0,4516.0,5328.0,5613.0,7980.0,5473.0,43543.0,65344.5,16813.0,14388.0,10489.0,19814.0,28746.0,34146.0
XXXTENTACION,598172.0,0.0,931.0,2773.0,3568.0,3196.0,2536.0,1508.0,8676.0,18204.0,13647.0,10346.0,5993.0,5285.0,4069.0,32814.0,18788.0,12386.0,35072.0,41943.0,35147.0,32687.0,34656.0,33992.0,38594.0,31848.0,16859.0,14004.0,9085.0,8167.0,7886.0,5321.0,3569.0,3160.0,3523.0,2525.0,3761.0,4175.0,3942.0,4253.0,6397.0,5590.0,7507.0,5381.0,4871.0,3932.0,3557.0,3281.0,1779.0,5731.0,5508.0,3780.0,1641.0,732.0,409.0,0.0,656.0,485.0,674.0,729.0,283.0,490.0,142.0,2738.0,2522.0,1411.0,2037.0,83.0,122.0,568.0,1226.0,1480.0,883.0,1620.0,646.0,367.0,25.0,0.0
Harry Styles,589001.0,0.0,0.0,0.0,4323.0,13220.0,5101.0,4018.0,2907.0,2040.0,1289.0,915.0,238.0,287.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3999.0,7979.0,23744.0,16869.0,11925.0,12377.0,11913.0,12029.0,13573.0,12652.0,13277.0,12920.0,13675.0,15542.0,11902.0,15341.0,13135.0,14411.0,11760.0,9288.0,7017.0,6002.0,5242.0,4582.0,4806.0,4921.0,3728.0,4494.0,3701.0,4147.0,17563.0,40763.0,48659.0,22950.0,16972.0,15129.0,13778.0,12058.0,10075.0,11846.0,10850.0,10880.0,8602.0,7576.0
Imagine Dragons,575616.5,7.0,3919.0,5436.0,5554.0,11139.0,16041.0,13401.0,11046.0,10161.0,10488.0,11222.0,10768.0,11649.0,10193.0,11087.0,9403.0,8560.0,9059.0,12084.0,14527.0,14645.0,13516.0,17011.0,13054.0,14949.0,10337.0,10960.0,9496.0,8476.0,7903.0,5375.0,4993.0,4232.0,4888.0,4219.0,2840.0,3189.0,2893.0,2711.0,3190.0,3015.0,3387.0,2814.0,2821.0,2878.0,2783.0,2361.0,1402.0,2676.0,2795.0,5467.0,5998.0,5753.0,4762.0,4937.0,2998.0,3149.0,3426.0,7761.0,7647.5,7869.0,5840.0,9369.0,10703.0,8609.0,8135.0,9123.0,9500.0,9366.0,9854.0,8130.0,6456.0,9147.0,7068.0,8265.0,7831.0,6900.0
J Balvin,557097.33333334,1199.0,954.0,3070.0,4769.0,5149.0,5922.0,10131.0,9517.0,8154.0,9301.0,9610.0,9522.0,9971.0,8552.0,11322.0,12021.0,11834.0,11672.0,12990.0,10590.0,8158.0,5844.0,4677.0,5476.0,6692.0,5640.0,6423.0,6206.0,5777.0,9367.0,15121.0,14218.0,12889.0,15494.0,16153.0,13067.0,17474.0,16536.0,24543.0,21102.0,18214.0,17040.0,13090.0,10418.0,9390.0,8219.0,8600.0,4285.0,4099.0,3371.0,3989.0,2720.0,678.0,3645.0,7014.0,7530.0,8514.0,7907.0,3628.0,1753.83333334,1368.0,1333.0,1602.0,1977.0,404.0,0.0,829.0,1541.0,1481.0,1456.0,1393.5,1080.0,736.0,386.0,297.0,0.0,2.0
Justin Bieber,541378.666666677,11121.0,7068.0,5538.0,5895.0,7167.0,5907.0,5475.0,7284.0,8748.0,7846.0,6876.0,8692.0,4473.0,2060.0,874.0,442.0,196.0,148.0,360.0,1525.0,1368.0,1024.0,1042.0,4386.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.0,4339.0,6004.0,20306.0,15345.0,11232.0,9203.0,7878.0,5619.0,4490.0,6266.0,12479.0,14509.0,15172.0,17058.0,13198.0,36740.0,27942.0,16734.0,10544.0,8994.0,7735.0,5576.0,9596.0,10196.0,13625.166666677,10056.0,9081.0,10585.0,10503.0,10302.0,8617.0,8641.0,8016.0,7381.0,6125.0,5486.0,8056.0,4168.0,2940.0,5938.0,4485.0,3921.5
