author,points_sum,points in 01/2017,points in 02/2017,points in 03/2017,points in 04/2017,points in 05/2017,points in 06/2017,points in 07/2017,points in 08/2017,points in 09/2017,points in 10/2017,points in 11/2017,points in 12/2017,points in 01/2018,points in 02/2018,points in 03/2018,points in 04/2018,points in 05/2018,points in 06/2018,points in 07/2018,points in 08/2018,points in 09/2018,points in 10/2018,points in 11/2018,points in 12/2018,points in 01/2019,points in 02/2019,points in 03/2019,points in 04/2019,points in 05/2019,points in 06/2019,points in 07/2019,points in 08/2019,points in 09/2019,points in 10/2019,points in 11/2019,points in 12/2019,points in 01/2020,points in 02/2020,points in 03/2020,points in 04/2020,points in 05/2020,points in 06/2020,points in 07/2020,points in 08/2020,points in 09/2020,points in 10/2020,points in 11/2020,points in 12/2020,points in 01/2021,points in 02/2021,points in 03/2021,points in 04/2021,points in 05/2021,points in 06/2021,points in 07/2021,points in 08/2021,points in 09/2021,points in 10/2021,points in 11/2021,points in 12/2021,points in 01/2022,points in 02/2022,points in 03/2022,points in 04/2022,points in 05/2022,points in 06/2022,points in 07/2022,points in 08/2022,points in 09/2022,points in 10/2022,points in 11/2022,points in 12/2022,points in 01/2023,points in 02/2023,points in 03/2023,points in 04/2023,points in 05/2023
Bad Bunny,0.026743520573592885,0.0,0.0,0.0,0.0,3.4252088521097574e-06,1.370461417228413e-05,0.0003665300217024355,0.005317228107962361,0.008272014620304911,0.009064501115408689,0.010265337377455459,0.010872932976864673,0.008739104201702248,0.012399381630150861,0.015104465060894488,0.012389999784435229,0.011387708464392549,0.007959816194577706,0.011748752266782212,0.010873315286026282,0.007341438192713581,0.011640186165944472,0.013921848595957938,0.0171221793537579,0.02610382795160537,0.022061684590934046,0.017021529257709195,0.008785865668127108,0.010011218085029553,0.019729889988306496,0.02567176539126332,0.025612384588595355,0.01968009684989096,0.016858646976049392,0.018543081494057725,0.02086971735776431,0.02121843917675024,0.025165250155282957,0.08671530456999428,0.046906013859386426,0.055162221059692346,0.03476902462322225,0.01780301632357684,0.014688748736218766,0.010441279616373757,0.005630598104627392,0.0227603515670328,0.030080364479724862,0.021285199853648205,0.020678434534868437,0.01646446862996159,0.014042778846407209,0.010265610126485561,0.017833638188785323,0.024148154920186564,0.023910107554606642,0.021034052690133666,0.02010916007387601,0.017335369034685095,0.017506577615897263,0.021878481004747836,0.028719500530425556,0.03162855101651371,0.02984020828328095,0.14666843134190796,0.1409624325909042,0.12305455406300286,0.10608599084373055,0.08100712545061403,0.06027035072613145,0.04956384742951817,0.04762032452486147,0.047240684209848394,0.03624707979890099,0.03254995843830943,0.02689292053437809,0.029084748670444593
Ed Sheeran,0.025612111405357466,0.033041617706378576,0.035731449178066615,0.13030883087284414,0.07737181353733753,0.0499874979876898,0.041002492526702586,0.038611044128285504,0.03470562650364566,0.032262183725623846,0.035014203405607534,0.033264344064874274,0.042269964321192316,0.044797938303143894,0.03578015885708193,0.030361387004575312,0.02263430099806489,0.022521857467486615,0.021877886469804934,0.02125720154702871,0.019772873517475774,0.018138158243623057,0.01786390627507623,0.015130785776000027,0.009689824098281594,0.015144585293206681,0.013696829065918544,0.012157547436259531,0.01142593704292106,0.02263036008608556,0.03304160303699851,0.0785848752280945,0.050844411062804025,0.03360724384115955,0.03575663346923582,0.03581116033531409,0.02873980054397099,0.030060525517500398,0.026825023912719854,0.018160575694743126,0.019870426841907148,0.018202329410329898,0.01925181755465931,0.01450075335882505,0.012848041339688348,0.011664983659074065,0.011379937805077647,0.006032404905493981,0.0048494712696191804,0.01595748095180019,0.016832977502744217,0.012874519846350832,0.00857684909488551,0.007401936282859026,0.008908704042431983,0.018256131219686736,0.0207877066075098,0.024818931769579253,0.03298845610778792,0.03556095856645783,0.02692287122763336,0.027090321381200193,0.02727256917271004,0.029464782779432847,0.03032397987117947,0.025098784606504,0.02239344614291967,0.022302448262734774,0.019877521694533922,0.01641484118699055,0.01687051269329629,0.0078109452736316995,0.006427718530599883,0.009246557698004818,0.009073370443013914,0.012095497027977369,0.014559333634960963,0.016651226625495338
Post Malone,0.02262144880733814,0.0007302191135650158,0.004402231931589316,0.0044381634037976465,0.0040070677925722,0.005529999691731203,0.005896410247625247,0.005734265734265735,0.006041064472795148,0.013330082902568338,0.03323115440787045,0.036618019819742005,0.03245270242213428,0.03227980538403276,0.03163459317305471,0.03526086977454034,0.049173640739751966,0.13229384652912404,0.07121713881090296,0.0440068685507037,0.03930183559406076,0.03136931908575065,0.032317445032900016,0.03197464714456998,0.031146089803792167,0.04338441441311322,0.03819796706293719,0.037881608339538346,0.03483335378614758,0.030874609413241192,0.02670624128370164,0.03256796293354004,0.033734715461637595,0.11669085149959785,0.07665734443016425,0.05328483128183362,0.03722861096530992,0.03381949560463724,0.02909737396413862,0.026515467623590132,0.025039092490427937,0.022153147977572445,0.023445791763956697,0.015798873251188606,0.013868695135846452,0.013294930913781925,0.011689628723912953,0.009901498900938594,0.007863535846745921,0.010096990159767378,0.01045644598065371,0.010174455825864277,0.008548852467655662,0.007717115505225926,0.0070828173512795,0.013997102851909707,0.013365322483016246,0.007209064472794078,0.005791854649257412,0.012477445354341261,0.010332021480410711,0.009348816790374968,0.007450305212083268,0.007514836479366136,0.007357904353780855,0.006843963375547341,0.020437859756047207,0.010291468989631753,0.008357776188258788,0.0071287593907218595,0.005001456424110701,0.003003316749585352,0.001701965225648411,0.0023973749629686877,0.002154122369141974,0.0006382975302548206,0.005702750943414988,0.010379138788815866
The Weeknd,0.019537466503876062,0.02892177886478032,0.019215742381387364,0.0137658288626266,0.008804960690367155,0.007163824314187558,0.006314400979879914,0.00603809983120328,0.005251424802068471,0.004126057011892265,0.003461779197226725,0.0023587021158554614,0.0018478236566146337,0.0014040977187824949,0.01024397178243332,0.012979697557640738,0.03739219688691306,0.013676162842947195,0.008321324513414777,0.004862548745847576,0.003149987884661982,0.0021742588959007265,0.0009709516931471674,3.482535086540997e-05,0.00010311698860319313,0.0031662887340782857,0.002085883684445242,0.0,0.0010795769252455168,8.0243812800814e-05,0.0,0.0,0.0,0.0,0.0,0.0022117731324278436,0.017920822000604412,0.017030927239371923,0.0192003312703087,0.051901115055495994,0.03509950137383365,0.02223980281210985,0.018172229887497348,0.017323241480787344,0.01612986054274389,0.015158675282339032,0.012405287531169668,0.013458943508575332,0.012676521071484094,0.02104448966229965,0.03806558413646843,0.028391485275288092,0.025218373692392822,0.027237533706666837,0.026565434098474533,0.029223680954324996,0.03422692276852884,0.030695834228388036,0.030394219784191392,0.02750908966179598,0.024959810740832332,0.08691399994688172,0.03845324429140363,0.03372608145041864,0.02906225127030901,0.020520728024212193,0.02355292388243358,0.03709983396728612,0.04169767028788963,0.04149371415147249,0.03856643054457458,0.03439800995024813,0.0332790197689807,0.04206918093177222,0.04330196440968659,0.05229216341059895,0.04458288379215536,0.036942585920968836
Billie Eilish,0.01835793367902554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008290952746543916,0.006613408481082539,0.009686101331776747,0.01315295363728275,0.010253908600606248,0.005851606830354775,0.010722195474241695,0.028903382868249065,0.02344087113231972,0.0233933050565936,0.03323910729863849,0.0484986006624387,0.104780320191571,0.07051665781309932,0.05186715119071675,0.04916730460907371,0.04324045854818752,0.03349447342017761,0.027477332203754246,0.030663067699490662,0.0359863848197102,0.04279158902355054,0.05075998815913979,0.03961111075447595,0.03622874786297149,0.027294668160125296,0.025311438654213543,0.020293352631300256,0.028457946174955468,0.022378197507159,0.016347829435720683,0.022103898601224716,0.01966915089041813,0.026266296079954298,0.022916437241786,0.021941421254801537,0.01837402176490738,0.02481160878299433,0.021446459321679035,0.022608158356412264,0.036891811794374334,0.018624618867005022,0.028139960121656513,0.022054494895590537,0.01342053852034166,0.012257823619198195,0.01005025999547834,0.00961236691327106,0.011027050349835501,0.007499338246784517,0.007092304007795919,0.012831545575820006,0.01040441523569953,0.008030401040279394,0.006408266087084559,0.00452736318407952,0.0022335336047434196,0.005601388513208908,0.0030179129463289794,0.002390802084354958,0.0025870369725866887,0.00297220792588818
Drake,0.01828686944316542,0.027628748949712137,0.020129205507192147,0.0653256680452235,0.05125638616089155,0.025942531845879302,0.023642172523961662,0.02361546499477534,0.01748762978097129,0.01114765081749992,0.0051501388242468985,0.0028570194642756294,0.0018893477837295693,0.010712864423533641,0.01759510990280221,0.015165447814009022,0.024352186407148792,0.02863135663940635,0.04818839558296533,0.12129571678461958,0.05695011208693517,0.04179150978416503,0.03171561547103194,0.02484871701749062,0.021534000050765285,0.021815777522078163,0.013961562174080674,0.011156186612576065,0.006132527603007558,0.004268970841003305,0.01066162708652862,0.01165629107506536,0.013625486882459714,0.01258053549366081,0.011777145598572623,0.00709624363327674,0.005005487426635492,0.005567834001826519,0.003899612776493497,0.0019226201557354424,0.01295897402733075,0.03541294238095391,0.0174508464232647,0.0158470111952812,0.018235360197711555,0.01816653318675415,0.01460040243773287,0.011345363883814456,0.008253777891994963,0.009382883258766666,0.007223775403995013,0.024654289372599232,0.017031830518299915,0.010580789348852461,0.00782128707970117,0.006607641346306924,0.004312560824716335,0.0807456901112219,0.0310588588423029,0.020337868990812222,0.008494011721744665,0.0035433015508974644,0.0020486600233039424,0.0021322264260447044,0.0021050601527476103,0.0052318368674675745,0.030113387673529387,0.016201785731423692,0.010073176547020692,0.006569576129161407,0.005228722604022291,0.03715174129358141,0.006979792514823186,0.0071100119788245295,0.006144692060443924,0.004551688433630723,0.01080721851264433,0.008898896322981058
Ariana Grande,0.014485919876933467,0.008448539482054627,0.006331876928269299,0.005950628032931717,0.00509072980914313,0.002469575582371135,0.0062681479070484545,0.003718350614902339,0.0016916264490770686,0.0003648442695403128,6.4196183536888736e-06,0.0006395072638058822,0.006310070239658096,0.0,0.0,0.0,0.0035932989203521335,0.009739571965952421,0.011165300507935771,0.014762569608267937,0.04578153558298846,0.02701748687490057,0.02066441983630236,0.032181940899721234,0.039844404396273826,0.03812866398021591,0.09218575380531634,0.05268538013197422,0.03705220774310381,0.02609047329405666,0.022101716924442738,0.01823953573841633,0.026515935721083555,0.028380003150938235,0.02643118793532518,0.023366205963497453,0.020293935200648948,0.010378095893862863,0.009041489210615023,0.005434049956026884,0.00582366177658165,0.013431499353298178,0.01511091063468478,0.01228640793056583,0.011175838107617993,0.010587195545584634,0.02056796993591163,0.060358860954641755,0.03822944328640911,0.03509554589861929,0.03090397547433224,0.021085147247119077,0.017394139811862663,0.014803872565718051,0.01139190994239936,0.007737812826579363,0.00976811534960357,0.00527093706616565,0.004713730462827687,0.0050222475355410166,0.01332956870345054,0.006722586672624246,0.005714683222900471,0.005034073041371817,0.004270591753982535,0.002685282927404875,0.002200034685231524,0.002085805962461891,0.0015841850328118324,0.0012474088142502395,0.0013812022060824111,0.004407960199004895,0.009142345178737896,0.001118989656993444,0.0026092186443128136,0.006686849945415111,0.005391179546332159,0.004623434551381613
Dua Lipa,0.014208761234641631,0.0030484256444024242,0.009771120624823453,0.009481312659248921,0.0077196442279694,0.004406531188239203,0.0036848281355728956,0.00795595209388313,0.011908793408113709,0.011689942072680296,0.011450994238392527,0.010889895120808736,0.010617399886926608,0.018413738654890432,0.01909838832915756,0.01853554732823325,0.017092628182274937,0.016308045858956746,0.014982695691251996,0.013783640652833277,0.012726721300689851,0.013146643156387548,0.01392713850104317,0.013503944385573018,0.010617876995710334,0.01403726688139015,0.013931357725498418,0.005725729837984954,0.0032238057491202525,0.003233825655872804,0.00211344355482531,0.00018456195423826466,0.0,0.0,0.0,0.009679408955857385,0.00965309920313022,0.009967209325841074,0.01837557771248954,0.02831451369586011,0.031313789575446435,0.026619081394565137,0.025299830184674167,0.022894406210436626,0.023789578418628537,0.019289090960342373,0.022052239883697422,0.024134592750504773,0.019791299823280636,0.023358516968463756,0.027749457373153204,0.030316901408450704,0.032670417116808514,0.033151123661682165,0.029316436713144274,0.02612162032228014,0.028390894412222957,0.02677950233889817,0.025789220595847383,0.018464896117011347,0.01557550075344856,0.01422476217853678,0.013370202257352045,0.017486780038449466,0.015539527897767295,0.01250952765171689,0.018287375401564138,0.015597157929421701,0.011442936534987286,0.009707950824960749,0.007142880006657939,0.00412907683802646,0.0027240907735818403,0.00407344436286822,0.0025646013624333196,0.0016496052041346245,0.0016224914773621834,0.0026694115628584625
Taylor Swift,0.013393381853364734,0.004845274860532932,0.004912157130331745,0.004782269113071535,0.004359464753686105,0.003894462464848794,0.005082698781145877,0.0027361144602523913,0.00489833389239394,0.0206551608051118,0.020157601630583062,0.01882809048114201,0.012912406450932855,0.007455357715958253,0.0025623256392487163,0.003811422069658352,0.008073729784584465,0.004954038335622858,0.001936888607347242,3.2096031325726575e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00165004460924622,0.009523335703200604,0.013904669782726076,0.01788325092240855,0.05329988749745224,0.03735686033880878,0.014049139899332682,0.011397097835314092,0.003251101461723211,0.00123907980669071,0.005509764431903931,0.00019900242012620606,0.0,0.0,0.0,0.03596064883530244,0.044764334889990855,0.007965683226466496,0.0005263141004040423,8.288547548081865e-05,0.03830082902639369,0.011130439247957173,0.011571894948863414,0.006903008962868118,0.023405180364153778,0.00038203542105078844,0.0,0.0,0.0,0.004531915780428921,0.003874508794981822,0.06457927509249199,0.010858178317618199,0.009270701676819027,0.009505921636145458,0.006166424057570114,0.00433106320246985,0.007201150653301909,0.008800138740926096,0.008978242996394627,0.012769491476604467,0.009054467427575014,0.06968909346401672,0.10836567164178908,0.02652005684784683,0.02316550098535492,0.018719626785360533,0.031856995628385426,0.04764059244969696,0.058579516212050674
XXXTENTACION,0.012674641781054022,0.0,0.0017076991367956887,0.0044381634037976465,0.00590306271011462,0.005473483745671392,0.0043443626926140694,0.0024242424242424242,0.013924621510619208,0.03018920492141752,0.021902132918198012,0.017185304289183523,0.009571311299992653,0.008480750221446268,0.00723030723030723,0.052660212123692283,0.03115408404041342,0.019877135997740433,0.058159723661714444,0.06731019209474748,0.05639970666439872,0.05416920772127062,0.05561868078960038,0.05637063460081027,0.06122610858694825,0.051109966347149136,0.02995392933225071,0.022472847716127044,0.015065985201006942,0.013107024382884958,0.013061611186012846,0.008539601378276576,0.00572784012762058,0.005240507798572128,0.005652708984165034,0.004186452143463497,0.005982090311908511,0.006700982115199112,0.006745183661666242,0.006825462038683503,0.010607620838494538,0.008970380093779788,0.012449254404585013,0.008634342572074537,0.007816988429380707,0.006519789018831446,0.0057076196802962765,0.00543894490105132,0.0028221162540570895,0.009196734044123783,0.009783268975953904,0.0060499359795134445,0.0027024979578930725,0.0011652080342049048,0.0006638112503834363,0.0,0.001031367080209229,0.0007774952789204198,0.0010321813943943668,0.0011630300042596573,0.0004451491328242721,0.0007655281128482177,0.00024695222691779276,0.004318073930850888,0.0041218646779731935,0.002249960932641496,0.003364467457820281,0.00013276218932847925,0.00019522280202327632,0.0009396925815572096,0.0019621713843071104,0.002454394693200619,0.0013928037944833612,0.0026082924378839985,0.001152910563766127,0.0005900634599584865,4.143236663335504e-05,0.0
