author,points_sum,points in 2017,points in 2018,points in 2019,points in 2020,points in 2021,points in 2022,points in 2023
Bad Bunny,0.026743520573592885,0.0037386574567058652,0.011732878897361,0.019251952982703175,0.030998189937256677,0.01872677821598961,0.07234628597108335,0.034477470308666304
Ed Sheeran,0.025612111405357466,0.04882844852112882,0.023245320402821762,0.031120667878209322,0.016090457250928347,0.019277119720354778,0.0209407762135886,0.012322735867453544
Post Malone,0.02262144880733814,0.012817232136027423,0.04694976056196694,0.04677802963399746,0.019326794589713907,0.009767836805922556,0.007851880142160287,0.004209150353031552
The Weeknd,0.019537466503876062,0.008895459570770481,0.007871752548066992,0.0022400148163178317,0.020904846740644877,0.028571007972078045,0.038368570886828386,0.04393479072599925
Billie Eilish,0.01835793367902554,0.0,0.009185799039252424,0.046023868162007174,0.029177809578358423,0.02316466216026304,0.008501007767264116,0.003328285965340151
Drake,0.01828686944316542,0.023039897906792072,0.03706520630638837,0.010799706669589985,0.01366989033324948,0.01911840082009288,0.01053833732909352,0.0074918349596513455
Ariana Grande,0.014485919876933467,0.003931127807466914,0.01721004688004843,0.033873806642966915,0.017711544719464713,0.01451142637793954,0.0038832946803248817,0.004102115379019306
Dua Lipa,0.014208761234641631,0.008572428560343789,0.015146731106820365,0.005094879586777254,0.02264757346651384,0.02643071170571938,0.011842980390992087,0.0025179977636347294
Taylor Swift,0.013393381853364734,0.009048445296321794,0.002394856878402296,0.013601325297841353,0.011369333575706794,0.011369278391077372,0.023289039257376368,0.03598482377862313
XXXTENTACION,0.012674641781054022,0.009819977624461866,0.0443098219631073,0.014939968719593695,0.00742121652018594,0.002760584717216692,0.0018491365320525293,0.0008890592528892137
Harry Styles,0.012480317841160401,0.0046846375366436585,4.0574640386826095e-05,0.00486460023518181,0.02153856555005177,0.013413888305254055,0.028379292963712912,0.016641931553141438
Imagine Dragons,0.012196714223942416,0.015020941984841206,0.019713828967542875,0.012074754315354702,0.004540293886419072,0.0076775918622436976,0.0138940302525862,0.013115463643731737
J Balvin,0.011804312366978946,0.010634434005094754,0.015400254530982345,0.01730118319464597,0.022931036378690702,0.007340258437908855,0.0019520387803148307,0.0004753021814731274
Justin Bieber,0.011471250188749695,0.01205409201045806,0.002436929240414139,0.000697374665594481,0.017445323085949947,0.023812942772425103,0.013879860106923849,0.007175524312492798
