author,points_sum,points in 01/2017,points in 02/2017,points in 03/2017,points in 04/2017,points in 05/2017,points in 06/2017,points in 07/2017,points in 08/2017,points in 09/2017,points in 10/2017,points in 11/2017,points in 12/2017,points in 01/2018,points in 02/2018,points in 03/2018,points in 04/2018,points in 05/2018,points in 06/2018,points in 07/2018,points in 08/2018,points in 09/2018,points in 10/2018,points in 11/2018,points in 12/2018,points in 01/2019,points in 02/2019,points in 03/2019,points in 04/2019,points in 05/2019,points in 06/2019,points in 07/2019,points in 08/2019,points in 09/2019,points in 10/2019,points in 11/2019,points in 12/2019,points in 01/2020,points in 02/2020,points in 03/2020,points in 04/2020,points in 05/2020,points in 06/2020,points in 07/2020,points in 08/2020,points in 09/2020,points in 10/2020,points in 11/2020,points in 12/2020,points in 01/2021,points in 02/2021,points in 03/2021,points in 04/2021,points in 05/2021,points in 06/2021,points in 07/2021,points in 08/2021,points in 09/2021,points in 10/2021,points in 11/2021,points in 12/2021,points in 01/2022,points in 02/2022,points in 03/2022,points in 04/2022,points in 05/2022,points in 06/2022,points in 07/2022,points in 08/2022,points in 09/2022,points in 10/2022,points in 11/2022,points in 12/2022,points in 01/2023,points in 02/2023,points in 03/2023,points in 04/2023,points in 05/2023
United States,22225483.516666763,268307.0,256000.0,251468.0,293831.0,296328.0,285758.0,304089.0,311970.0,312014.0,330223.0,310988.0,325519.0,325782.0,305050.0,353103.0,319593.0,331606.0,324251.0,298347.0,335865.0,339166.0,361816.0,338987.0,351881.0,337552.0,314410.0,351086.0,350065.0,348139.0,304945.0,302349.0,323196.0,344657.0,340155.0,318596.0,324120.0,346453.0,288562.0,292064.0,301572.0,320760.0,319726.0,347078.0,331901.0,297377.0,283707.0,266292.0,295135.0,267677.0,234105.0,243711.0,263206.0,274128.0,275638.0,253929.0,252882.0,233612.0,231350.0,251372.0,288761.9166667,253316.0,251834.0,274123.0,260435.0,238427.0,206468.0,213766.0,212081.0,198478.0,246391.0,246542.33333338102,300248.0,235461.0,198976.0,219253.0,209243.0,208230.26666668
United Kingdom,6960367.41666668,111131.0,92513.0,156556.0,124268.0,102480.0,88800.0,99110.0,94345.0,87269.0,91475.0,103851.0,110669.0,97645.0,83523.0,79457.0,70205.0,75463.0,68493.0,69717.0,61663.0,61845.0,73719.0,98670.0,110457.0,104558.0,91891.0,94156.0,75491.0,83874.0,83583.0,103073.0,84543.0,58736.0,70058.0,86271.0,115242.0,80607.0,76067.0,75896.0,78655.0,74060.0,74576.0,69440.0,73911.0,72792.0,90016.0,82053.0,84872.0,85379.0,76460.0,85836.0,89274.0,96401.0,82947.0,83734.0,79735.0,80060.0,114950.0,121790.0,114011.41666668,95510.0,89447.0,105372.0,101291.0,104555.0,126909.0,112418.0,113085.0,117947.0,111096.0,92327.33333333,91608.0,84787.0,73439.0,78364.0,76355.0,77534.66666667
Puerto Rico,3897874.5714285485,21079.0,28806.0,27521.0,28975.0,32558.0,32309.0,34089.0,37183.0,36855.0,35850.0,35781.0,35149.0,30320.0,28755.0,30734.0,27960.0,32885.0,30823.0,41652.0,40685.0,35097.0,32912.0,33028.0,38791.0,46261.0,38670.0,41451.0,39784.0,45849.0,54156.0,58110.0,64451.0,55501.0,52327.0,55516.0,54819.0,60350.0,66087.0,102858.0,65955.0,75662.0,60738.0,52269.0,47273.0,50323.0,50323.0,61255.0,60999.0,60629.0,52999.0,47545.0,39143.0,44284.0,52210.0,60671.0,60586.0,53635.0,56428.0,45799.0,44848.238095279,47122.0,47794.0,56440.0,53290.0,131085.0,122123.0,115097.0,102525.0,80149.0,64835.0,58325.333333321,52755.0,51214.0,34949.0,40774.0,34066.0,35769.999999948996
Canada,3412773.0833333847,70581.0,46449.0,69609.0,54964.0,40878.0,36186.0,36264.0,31486.0,26533.0,20797.0,16578.0,25402.0,17496.0,21264.0,24910.0,47502.0,46356.0,54890.0,89431.0,50773.0,40145.0,35097.0,26306.0,39743.0,27083.0,20279.0,18688.0,13600.0,17281.0,22126.0,29017.0,28509.0,24461.0,23370.0,24651.0,45800.0,36440.0,52164.0,67660.0,62830.0,60697.0,43253.0,43401.0,45293.0,45035.0,51512.0,52841.0,61161.0,59399.0,57274.0,89297.0,66322.0,47661.0,36814.0,36620.0,38828.0,85190.0,61703.0,51700.0,53835.08333336,84884.0,49901.0,49338.0,49941.0,39299.0,49492.0,48014.0,45518.0,41124.0,37874.0,57897.500000030006,51483.0,52506.0,45778.0,53881.0,46355.0,38052.499999994994
Colombia,2134156.666666678,19258.0,15035.0,14571.0,17880.0,22126.0,25561.0,33217.0,33212.0,27793.0,28486.0,31958.0,33074.0,37504.0,31852.0,33186.0,31656.0,30635.0,30653.0,33641.0,27800.0,24582.0,22737.0,19246.0,15847.0,23007.0,21027.0,28985.0,25647.0,25705.0,26472.0,30388.0,32189.0,27230.0,27937.0,27626.0,21103.0,26852.0,24828.0,29840.0,31859.0,28183.0,26288.0,23582.0,31346.0,36197.0,40182.0,43868.0,37242.0,41465.0,36965.0,34761.0,23845.0,21184.0,20389.0,23922.0,24570.0,22424.0,23384.0,13600.0,10628.333333346,15799.0,13714.0,13269.0,14694.0,16469.0,15227.0,23818.0,30701.0,32264.0,31470.0,30413.833333331,25273.0,35996.0,40816.0,55901.0,51351.0,50750.500000001004
Australia,973105.83333332,20943.0,15912.0,11635.0,6972.0,7545.0,10044.0,9845.0,7592.0,7650.0,7137.0,5426.0,5824.0,11412.0,7538.0,4853.0,5082.0,9633.0,11548.0,10217.0,13323.0,13177.0,13101.0,11871.0,11181.0,12016.0,13636.0,14022.0,12115.0,12404.0,13322.0,12167.0,14497.0,15111.0,14852.0,12632.0,10009.0,10886.0,13916.0,11661.0,12478.0,13037.0,15160.0,12388.0,10029.0,7553.0,8332.0,11468.0,20228.0,23036.0,21989.0,19676.0,18258.0,18994.0,16220.0,27945.0,33160.0,23415.0,21144.0,12775.0,16022.0,10553.0,11738.0,12558.0,15610.0,15024.0,12084.0,8903.0,8322.0,7489.0,9231.0,10191.33333333,11338.0,12813.0,10714.0,7393.0,7317.0,5813.499999989999
Spain,956955.999999986,4751.0,4861.0,7637.0,9408.0,13442.0,14348.0,15481.0,16084.0,19465.0,20486.0,17127.0,12724.0,16891.0,18254.0,19518.0,14356.0,10746.0,13241.0,15438.0,13748.0,8119.0,5892.0,6836.0,5784.0,10773.0,10077.0,13475.0,16001.0,14986.0,16019.0,11992.0,13528.0,14119.0,14486.0,15675.0,10463.0,10168.0,5147.0,1530.0,1609.0,2456.0,9791.0,12591.0,12595.0,14458.0,11586.0,11668.0,11224.0,14127.0,12388.0,10676.0,9129.0,5778.0,4258.0,6316.0,5447.0,4270.0,5245.0,10298.0,9642.499999986,7980.0,8238.0,18753.0,18100.0,11119.0,9049.0,12224.0,24125.0,25772.0,27985.0,19004.5,20294.0,27165.0,21753.0,17047.0,13684.0,6035.0
South Korea,839371.8999999539,385.0,308.0,18.0,116.0,198.0,0.0,8.0,0.0,4733.0,2338.0,2732.0,5234.0,3992.0,2578.0,1303.0,617.0,7955.0,7382.0,2804.0,4311.0,715.0,1193.0,5734.0,4416.0,3785.0,940.0,1471.0,18958.0,10693.0,8763.0,5765.0,3443.0,2480.0,3876.0,2905.0,1119.0,5279.0,17181.0,6615.0,2487.0,6741.0,5666.0,7036.0,11014.0,17452.0,36779.0,32487.0,14615.0,12490.0,9108.0,8002.0,9424.0,13547.0,15212.0,16621.0,17477.0,16243.0,22392.0,16342.0,15128.333333319999,16502.0,15219.0,19409.0,17094.0,14723.0,19894.0,21603.0,19325.0,37845.0,22906.0,17378.66666666,16160.0,28631.0,17583.0,22778.0,42363.0,31351.899999973997
Brazil,548193.9999999569,6688.0,4848.0,3850.0,3462.0,2738.0,3417.0,2923.0,1126.0,79.0,357.0,2414.0,7240.0,9647.0,8048.0,7221.0,5541.0,2623.0,1751.0,1742.0,1689.0,1309.0,418.0,1031.0,1650.0,3330.0,1439.0,1889.0,1187.0,2521.0,812.0,1169.0,1260.0,862.0,2459.0,2512.0,2501.0,5402.0,3340.0,648.0,951.0,553.0,1195.0,2070.0,4648.0,6353.0,6247.0,1655.0,2559.0,7459.0,7925.0,9768.0,14959.0,16669.0,9366.0,16732.0,18595.0,18322.0,16460.0,14481.0,14230.000000008,22773.0,17310.0,19152.0,19015.0,11840.0,6335.0,13428.0,9671.0,7298.0,10173.0,13753.999999979002,13880.0,19146.0,18417.0,15526.0,11968.0,14167.99999997
France,455875.166666748,17756.0,14742.0,13389.0,8223.0,4619.0,9418.0,13501.0,13031.0,11095.0,11901.0,10092.0,11936.0,6823.0,4336.0,6828.0,9146.0,6352.0,5426.0,4323.0,6770.0,8768.0,5786.0,2393.0,5117.0,3022.0,2625.0,3548.0,3846.0,2803.0,2467.0,1257.0,858.0,1525.0,2116.0,2680.0,6308.0,3010.0,2843.0,4145.0,3208.0,1752.0,2725.0,5709.0,7150.0,8301.0,5348.0,3276.0,6119.0,2854.0,5112.0,3458.0,5182.0,6911.0,8076.0,7196.0,2902.0,742.0,140.0,2722.0,4964.5,3108.0,1581.0,876.0,566.0,344.0,982.0,4090.0,6505.0,8188.0,7169.0,6595.5,11155.0,7628.0,11231.0,13310.0,12656.0,11219.166666748
