author,points_sum,points in 01/2017,points in 02/2017,points in 03/2017,points in 04/2017,points in 05/2017,points in 06/2017,points in 07/2017,points in 08/2017,points in 09/2017,points in 10/2017,points in 11/2017,points in 12/2017,points in 01/2018,points in 02/2018,points in 03/2018,points in 04/2018,points in 05/2018,points in 06/2018,points in 07/2018,points in 08/2018,points in 09/2018,points in 10/2018,points in 11/2018,points in 12/2018,points in 01/2019,points in 02/2019,points in 03/2019,points in 04/2019,points in 05/2019,points in 06/2019,points in 07/2019,points in 08/2019,points in 09/2019,points in 10/2019,points in 11/2019,points in 12/2019,points in 01/2020,points in 02/2020,points in 03/2020,points in 04/2020,points in 05/2020,points in 06/2020,points in 07/2020,points in 08/2020,points in 09/2020,points in 10/2020,points in 11/2020,points in 12/2020,points in 01/2021,points in 02/2021,points in 03/2021,points in 04/2021,points in 05/2021,points in 06/2021,points in 07/2021,points in 08/2021,points in 09/2021,points in 10/2021,points in 11/2021,points in 12/2021,points in 01/2022,points in 02/2022,points in 03/2022,points in 04/2022,points in 05/2022,points in 06/2022,points in 07/2022,points in 08/2022,points in 09/2022,points in 10/2022,points in 11/2022,points in 12/2022,points in 01/2023,points in 02/2023,points in 03/2023,points in 04/2023,points in 05/2023
United States,0.47093485148832115,0.42777925699408015,0.4695714060361937,0.40247243953342465,0.4861274717420653,0.5074926443639901,0.4895253920804461,0.48884977091873644,0.5006989595052875,0.5174387268925053,0.5299764079025502,0.5165690518349706,0.5198804743971814,0.5227768720233128,0.5420509266663113,0.566662975605294,0.529946092225242,0.5321635362236972,0.53770382518917,0.4787877328968273,0.5389560269393767,0.5620691255236782,0.580670839351629,0.5621591054196537,0.5582293702566186,0.5417065862978173,0.5586223928674859,0.5634034713841888,0.5805254936037969,0.5587200148932516,0.5050815398324483,0.4852358461042181,0.518692916191219,0.5715752203583777,0.5457840546433883,0.5282324384550084,0.5155318032161091,0.5560659537142701,0.49376044844691375,0.4687213131591955,0.5000721324849889,0.5147297171522012,0.5302185045637868,0.5569207119922851,0.5326352446519987,0.49309137819253274,0.4552408368394196,0.44143478073476317,0.468187341563316,0.42955054593071396,0.415815574367409,0.3900624199743918,0.4334635450976259,0.43636085792421053,0.4473633384674562,0.4002556678020923,0.3975825761851681,0.3744994373178497,0.3542954979126658,0.4010331662973368,0.4542124268440149,0.39575616211073283,0.4379645571381367,0.43231679333332285,0.42564545099442846,0.38019237086244784,0.34101858963241916,0.34192821884327346,0.3393692383270366,0.3283596904970279,0.3943404319337791,0.40885959093428953,0.4735974560430807,0.37910564550407666,0.3551107311701685,0.352515487156071,0.3467773076585244,0.35723154343233215
United Kingdom,0.14748293746743504,0.17718336312138377,0.16969320111963432,0.25056657405154864,0.20559467400799428,0.17550770158210396,0.15212121731235384,0.15932802829354553,0.1514198266965617,0.14472542981142528,0.1468086472259224,0.17250251650260953,0.17674744706472334,0.1566892820005905,0.14841409456794072,0.12751333195319733,0.11641326751422312,0.1211035292909322,0.11358160221150226,0.11188195079678398,0.09894941565558421,0.10249012303123509,0.11831006259027443,0.16362939856619055,0.1752306647714293,0.1677956500039318,0.16326570498071358,0.15109636172234062,0.12518946492121244,0.13460739109710945,0.13843883435968954,0.16542047225391873,0.13568192432317921,0.09740710951168749,0.1124091643521527,0.1430373912351443,0.18329913632676434,0.12937630308020473,0.13015877361541503,0.1218023199830527,0.13042714038639797,0.11884550084889643,0.12367331776692847,0.11142329459298567,0.11861248856578883,0.12069900362634246,0.14444112823771427,0.13602003839255225,0.13463667831047404,0.13701063618098838,0.13580768807215604,0.13738156209987196,0.14702181760691418,0.15345248593632108,0.1346238429964667,0.13198574439209543,0.1253598386287849,0.12834282892859547,0.17603746481547844,0.1943009934414042,0.17933598325526276,0.1492154899145577,0.1555572946557451,0.16618118562513504,0.1655463105061787,0.16672194565012868,0.2096127641652008,0.17981758795095157,0.18095713579346068,0.19513014245938062,0.1778053769257608,0.15311332227749308,0.14449826727636667,0.13651190798201887,0.1310659425579266,0.12599382282339738,0.12654273417159298,0.13301538285585837
Puerto Rico,0.08259190316553822,0.0336076172376353,0.052837788758900765,0.04404713127872883,0.0479375678322789,0.05575897490349474,0.055347797411541,0.054801061007957556,0.059677178611036656,0.06111970706321922,0.057535829494936526,0.05943431014607343,0.05613582861395658,0.04865399180969742,0.05109547417239725,0.04932220879531781,0.04636300775867358,0.05277406889114275,0.051113628034472634,0.06684319483895816,0.0652864274515908,0.05816308267486875,0.052819772107205905,0.05477198516108383,0.06153863238317638,0.07424008267977475,0.06870623686328578,0.06651828125401187,0.0659752509891976,0.07358197146209042,0.08969878460432561,0.09325995791987443,0.10343654358791649,0.09204222257232647,0.0839594956044291,0.09204557512733447,0.08719282340029584,0.09686329835982428,0.11308192609044569,0.1650725074946879,0.10936777120570693,0.12141626094017285,0.1007250318403736,0.08387073999252258,0.07586378444305361,0.08344235574635168,0.08074909900802629,0.10154299601155092,0.09676575007376527,0.09729345460847685,0.09413643290787599,0.07609635083226632,0.06446305762694,0.07049190244088797,0.08473737257339659,0.09563268323515921,0.0952536675633481,0.0859813593503025,0.08641532896570524,0.07306668198228812,0.07054471482971707,0.07361880761966064,0.08311855445992243,0.08901099074405555,0.08709522945645974,0.2090263138591853,0.20170783473313017,0.18410276753180693,0.16405916211013447,0.13259757168878308,0.10376621672230954,0.09672526257598664,0.08321332296485813,0.08245746229246365,0.062373175376257535,0.06555653274209082,0.05645740006927492,0.061365585863704816
Canada,0.0723131077871814,0.11253186736797463,0.08519969624599671,0.1114086247295169,0.09093496042565583,0.07000784372827133,0.06198939605478419,0.05829756450446106,0.05053372900914666,0.04400187728960509,0.033377200725416875,0.027537016673698476,0.04056907219129207,0.028075535643221176,0.0377845300922224,0.03997579947586929,0.07876736747326582,0.07439242017691389,0.09102381477507715,0.14351900887455266,0.08147444466018483,0.06652867635360873,0.05632643235435725,0.04362455618407022,0.06304889966241084,0.043463050068445114,0.036030353694092895,0.029989472873392046,0.022553373553516172,0.027733866580217332,0.03664737624926709,0.04656899327071066,0.04575371089894511,0.040565842171162284,0.03749753305703572,0.04087137892614601,0.07284757678420893,0.058487134916851646,0.0892581837968437,0.10858470762692823,0.10418583981282034,0.09740163873920425,0.07172873328380386,0.06964116371875245,0.07268627734180669,0.07467413490922536,0.08265698762199095,0.08759502819763876,0.09702273873770975,0.0953196310394187,0.10172965637777485,0.14292093469910372,0.10922307712576744,0.07586745917792345,0.0597495045760778,0.057722286760915925,0.0610456112657987,0.1365666449716094,0.09449360323192228,0.08248100304557514,0.084680709050769,0.1326144659816492,0.0867828385593294,0.07781049364511362,0.08162174618662142,0.06266563762712837,0.08174483231342236,0.07680052720985063,0.07283730739750403,0.06803506641542022,0.06061605139416598,0.0960157545605787,0.08120692837076658,0.08453765601452916,0.08169959719517919,0.08662999805455916,0.07682389421156692,0.06528135186138244
Colombia,0.04522055738926005,0.030704278797019813,0.027578148788102233,0.02332076413874342,0.029581491383646134,0.03789308553089025,0.043787955357219334,0.05339924443372719,0.05330388769141139,0.04609143992424506,0.04571731210579531,0.05308408606937242,0.0528218838538223,0.0601820352516785,0.05659861044476429,0.05325720118049772,0.052491680028918845,0.049163253777715014,0.050831717877581346,0.053987129491438385,0.044610118794499797,0.04073752452670096,0.03649012999518536,0.03191660489312763,0.025139921821458487,0.03692184739226514,0.03735934943171219,0.04651353120907901,0.04253135084757568,0.04125334416089847,0.04384567224399342,0.04876929274254249,0.051659693434569574,0.0451579200490883,0.04482535648328656,0.045803931451612906,0.03356555486631356,0.04309814892391055,0.042483363762518885,0.04788896948843539,0.052829168718711496,0.04522580003273627,0.04359477817873063,0.03783963325304994,0.05030410989681126,0.060019532836887546,0.06447668653181472,0.07272040076785105,0.05907883841123897,0.0665403205617855,0.06565696036603777,0.0556354033290653,0.03926938684092646,0.033720993164749594,0.03309155888525154,0.037707060182813515,0.0386290993303975,0.03594753429796184,0.03581087496516005,0.021697130394967543,0.016717997762212992,0.0246828135814061,0.02385001999965218,0.02092641453194318,0.02401533686682716,0.026261237845267748,0.025150096210225535,0.03809794970392432,0.04912733807308694,0.053377185653806,0.050366666773364405,0.050437534549470066,0.039864473723644385,0.05795561394695828,0.0728439590877372,0.08987775878784565,0.08510373835957659,0.0870655343969934
Australia,0.020619099276719555,0.033390783614393287,0.029186797706437163,0.018621720592566036,0.0115347963046298,0.01292160039458406,0.017206143093302727,0.015826702033598584,0.012184846301131978,0.012686630281742696,0.011454204047569373,0.00901289977509277,0.009301404473745572,0.01831264361913809,0.013394459548305702,0.00778813949644294,0.008426924371587237,0.01545910310562196,0.019149991128121532,0.01639625760274742,0.0213791587301842,0.021837049901893196,0.021025517573423205,0.01968627333920389,0.0177377084549585,0.01928338845853253,0.02422752122750879,0.02250173312450253,0.020090744161827087,0.019906885079625937,0.02206527824246299,0.019526654758408403,0.023266040439931503,0.02505990928614665,0.023830267905994632,0.020943866723259763,0.015919899476706273,0.01747230929486408,0.02381176454483699,0.01871425178299749,0.020691244774540384,0.020920723664151538,0.025140628316705584,0.019877761713967546,0.01609455490828559,0.012523897878747178,0.013369661843190491,0.019010612656280564,0.032088683297957735,0.03696666645270205,0.03905669962096049,0.03149167733674776,0.030068377644857845,0.030234919947661146,0.026325228560438473,0.044048315224844224,0.05213434813984457,0.03753618959983841,0.032380479826520016,0.020380944176155172,0.02520204737141515,0.016486975867116817,0.020413558025077824,0.019805103149607543,0.025512413807756363,0.023957060986538506,0.01995887322547878,0.014240744236041575,0.013316755397030373,0.012389714336763983,0.014773902160309082,0.016901050304029542,0.017884042380353737,0.02062966111518992,0.01912118232227598,0.011886482723359921,0.012126425066250354,0.009973408817963178
Spain,0.02027690112581357,0.007574827529579454,0.008916353924773194,0.012222954891742743,0.015565026338777562,0.02302082869502968,0.02457922551799159,0.024887066956032475,0.025814155414568853,0.03228042593910086,0.03287807539841756,0.028448937421307385,0.02032126897732463,0.02710470236337728,0.03243598628214013,0.03132266777077546,0.023804983525876892,0.01724525298173088,0.02195748463175071,0.024774926580328344,0.02206114795635911,0.01345488412791006,0.009455946076071257,0.01133648088171155,0.009175825570474909,0.017288610507970287,0.017904131080199916,0.021623937658869746,0.026535038987486194,0.02405067557265997,0.02653232939243467,0.01924579961065452,0.0217109053646543,0.02341478785064553,0.023243015141815124,0.025989163306451613,0.01664201301076808,0.016319900873615466,0.008807067556214142,0.002455433087041091,0.0026680728355694405,0.003941190252293946,0.016236932180004247,0.02020349513566075,0.02021247572737631,0.023973323915123357,0.018591082827076937,0.019342154558203838,0.017805189901931858,0.02267008582120689,0.022003474232773594,0.01708706786171575,0.015034188822428922,0.00919750276179773,0.006910778249713133,0.009955597028452895,0.008563805618749499,0.006845164620598335,0.008032331474181682,0.016429194765248217,0.015167316301243149,0.012467172123528115,0.014326707361611103,0.02957517911805942,0.029581978854605392,0.017730202416754635,0.014946031431426471,0.019552831353630486,0.03860450900665198,0.042636896499810575,0.04478904256919615,0.03151658374792646,0.032010826959507736,0.04373720004636964,0.038822389308985385,0.027408206544720218,0.022678420200433216,0.010353405386860122
South Korea,0.017785416491547773,0.0006138304775601116,0.0005649530978872955,2.880885007874419e-05,0.00019191571591179818,0.000339095676358866,0.0,1.286070251587493e-05,0.0,0.007849126944246821,0.0037522669277311464,0.004538009986279662,0.008359126204598957,0.006405894963862536,0.004580912273219965,0.0020910665081115085,0.0010231035689235192,0.012766237434363406,0.012241533989244298,0.004499863591866866,0.006917777774211821,0.0011849048098849233,0.0019146204461563151,0.009508979136298132,0.007005609564180014,0.006074203172066047,0.0016701283333718292,0.002360579762240994,0.031438739399085265,0.01716094180558208,0.014514189554023659,0.009252171010292137,0.005525624421237785,0.004112803588752809,0.0062191030436059246,0.004816492466044143,0.0017798349000334016,0.00847293043979308,0.029398528790230263,0.010616137170442363,0.004123988279714853,0.01081741184475305,0.009396226915729144,0.01128995248784918,0.017675284451077623,0.028937781779411594,0.059016177740122785,0.053854008838907105,0.02318450199721437,0.02004313526628966,0.01617756242428979,0.01280729833546735,0.015520012647888066,0.02156430770406263,0.024689234085165847,0.02619885658801703,0.02747744277563521,0.02603887797011212,0.034291699975190895,0.02607165477312938,0.02379634086361812,0.025781112078002627,0.02646736578494287,0.03060975052004561,0.027937809201139478,0.023477090582055805,0.032858475996993944,0.034554958747748644,0.030923611877867335,0.06261032702294471,0.03666027547221751,0.028820342730778912,0.025490044528710214,0.04609754369694862,0.031380226691485776,0.036622521773663236,0.07020797390755279,0.05378606965170351
Brazil,0.011615660005019597,0.010663112295901367,0.008892508501810418,0.006161892933509174,0.005727691452471081,0.004689110918538258,0.005853583328336859,0.004698979181737803,0.0018071834740614602,0.0001310122604258396,0.000572950938066732,0.004009793596954284,0.01156287231969745,0.015480377934965404,0.014300691223768147,0.011588327901053878,0.009188033833719968,0.004209408018898204,0.002903674615980326,0.0027955643284707844,0.002710305418845689,0.002169287267327783,0.000670839351628952,0.0017097588924875084,0.0026175850953118257,0.0053440149439841315,0.002556717735874534,0.0030313631345161374,0.001968445177060566,0.004045893041417042,0.0013449186257979244,0.0018761123869959252,0.0020221570638279435,0.0014295309248003715,0.0039455042270967414,0.004164898132427844,0.00397798667112023,0.0086703485955223,0.005715097267875507,0.001039948130982109,0.001576965361483243,0.000887409694429378,0.001981731585650605,0.0033215181423888293,0.007459117680098856,0.01053413520768977,0.010024037150073332,0.002743509238415097,0.004059469080456488,0.011969715448459133,0.014076326549461636,0.01563380281690141,0.02463538510184185,0.026533951806231634,0.015201115332741476,0.0263738203736659,0.02923516898855277,0.02937168762964934,0.02520727856339952,0.02310265773893566,0.022383293851918562,0.035578309620188694,0.030103824281316846,0.030204438248230898,0.031077421432061964,0.01887989896702715,0.01046337817638266,0.021478682871118305,0.015475407527599223,0.012073726162331893,0.01628154118479301,0.0228092868988039,0.021893676860055555,0.03082615247884385,0.0328686592149857,0.02496273918069608,0.019834502554719725,0.024306055927211866
France,0.009659520061753694,0.02830954275209699,0.027040709639787372,0.021428982983572552,0.013604508033988934,0.007910519843947484,0.016133757034321492,0.021704043083353428,0.020914216563494573,0.01839975986613532,0.01909996950681282,0.016763395600854446,0.01906276850937966,0.0109487528402891,0.007704746166284628,0.010957637849106201,0.015165810763978133,0.010193732266885776,0.008997908889953882,0.006937557171055799,0.010863687202833225,0.014530413109190222,0.009285828919916547,0.0039684316486155264,0.00811768662588522,0.004849733681897912,0.004663922207554311,0.005693634939789971,0.006377961374031117,0.0044984681456136325,0.004086101292910689,0.0020173424041521624,0.0013769926672733137,0.0025290425293742072,0.003395155325147094,0.004443442275042445,0.010033242671501965,0.004831127225568701,0.0048646771055599,0.006652137350186485,0.005319563490681644,0.0028114679649914468,0.0045190113563999155,0.009160650760820207,0.01147433119894725,0.013764183277039632,0.00858148722244152,0.005430656353503238,0.009706874288125538,0.004579912574058502,0.009079896696636957,0.0055345710627400764,0.008534030723828094,0.011001028312008328,0.013107431926886627,0.011342697311074576,0.004562541565193877,0.0011894876225957763,0.000214399696165002,0.004342616833463356,0.007808985406028618,0.004855635458637266,0.0027495173996973966,0.0013815313233839948,0.0009250497255086547,0.0005485376051230861,0.0016219474931661836,0.006542136799439519,0.01040921579640502,0.013546131791884563,0.011473741153423877,0.010937810945273433,0.017595386554316982,0.012281515256900705,0.020043867711543917,0.021399849188140207,0.020974721284469658,0.019247155029592424
