author,points_sum,points in 2017,points in 2018,points in 2019,points in 2020,points in 2021,points in 2022,points in 2023
United States,0.47093485148832115,0.48791646649199877,0.5426445597508553,0.5391709807163172,0.5010325082272802,0.41089886510187196,0.39165059029903415,0.35828728878293764
United Kingdom,0.14748293746743504,0.173686537751429,0.12946537192716878,0.1431893622106273,0.12665484032607466,0.14862531722590805,0.17025299558003845,0.13060931554367902
Puerto Rico,0.08259190316553822,0.05312608169988053,0.05495848656046731,0.08264659200858475,0.10237409692015102,0.08280914227493608,0.12571487822559002,0.0658174779415816
Canada,0.0723131077871814,0.06544913692387529,0.06724947099791422,0.040154536373856006,0.08448050058898651,0.09162377509201997,0.08161538311013497,0.07912978559222313
Colombia,0.04522055738926005,0.041571807262199376,0.04620321441015161,0.04321189989997624,0.05162432529921424,0.0397650175157338,0.0355079333697255,0.07854176220374535
Australia,0.020619099276719555,0.016031170566426896,0.016738536881190782,0.021350613590294765,0.01997490375768917,0.03380926698901114,0.0179544292613953,0.014734200383516713
Spain,0.02027690112581357,0.021436436907421072,0.020263220490901408,0.022005772644419948,0.014230571285016935,0.013058109050320994,0.027347503928841537,0.028659952228953872
South Korea,0.017785416491547777,0.002210863857562585,0.005854729988703095,0.008742444597116674,0.022176357102449713,0.023016426380167678,0.032126914122393574,0.047733216665204144
Brazil,0.0116156600050196,0.005385042508569677,0.005809798339952582,0.0029879120362836372,0.0048358392694693745,0.022076915767907258,0.02221730390711115,0.026499518175365416
France,0.009659520061753694,0.01921993238911424,0.009812527461066386,0.0045014097971539865,0.007274733530607954,0.0067260814230634255,0.006904167304885519,0.01874589350847914
Sweden,0.00934686991370076,0.016968620866702658,0.012891843122101483,0.007031214359299793,0.004947025153124954,0.011449886893824174,0.0061724479736354225,0.001247626415830236
Mexico,0.009231499565276706,0.0005219674844799283,0.01076004062365673,0.00235454168485229,0.000761059906926962,0.006330912401711722,0.007610312897059279,0.0756801933229983
Germany,0.009167740222914411,0.010634434005094754,0.005242570313605208,0.01766301183875543,0.00885522932733355,0.00873698922112104,0.00470458957522626,0.007286907582320946
Argentina,0.008142860310101108,0.0,0.004418278793800358,0.010369788329562299,0.0027550748753435187,0.014833704257351046,0.012484438143602936,0.01741124542884107
Netherlands,0.007520766609743941,0.007890871649929038,0.009608020380995874,0.008493508668839635,0.0013262208759845687,0.01511991574247911,0.004687619138873493,0.00239524202781778
Cuba,0.007075840855749149,0.0080072618691884,0.01364288243879186,0.00870608469949634,0.00674636300656947,0.004033213201237059,0.0030476609475508882,0.0030747468706486445
Italy,0.006096983361151413,3.989735648370564e-06,0.0027619348330428432,0.006504336292284552,0.005500103651309122,0.017104035822826186,0.005692451158544353,0.003065437057814014
Norway,0.00562148370555306,0.016467565100103842,0.007505900002028732,0.00429468948034625,0.0032679689760160236,0.0038335432187817896,0.0003967640785457916,0.001098446420800669
Panama,0.003799803848966437,0.0,0.0,0.0053750005957848394,0.007672504762733533,0.010353008397393485,0.000806123842124468,3.010358644094403e-06
Venezuela,0.00377130621306248,0.0071676288808433805,0.0062414144809802286,0.0034181027350949954,0.0021916787615820325,0.0015379406423431368,0.003685519933008944,0.0
Dominican Republic,0.0035030857798334547,0.0018542640368530506,0.007037385446421119,0.0031292662450098764,0.0014102551396998361,0.006940003988046501,0.0010414382292985964,0.0024149766011512877
Nigeria,0.0032777588619234007,0.0018387178255335377,0.0006949428340079208,0.00028978974582797413,0.00048234852823965326,0.005291098403483603,0.00964006255557361,0.006546749587552597
Jamaica,0.0030024807397133267,0.0028876055697810267,0.0014542876978915755,0.0020910345616487512,0.0024959126630132353,0.000744914906060084,0.007342429667156762,0.005457780221743153
Russia,0.002401577763764342,0.008447646138513716,0.0036016120386319593,0.0017917122583922251,0.00022617299410280392,0.0,8.259170614626682e-05,0.0033619016368658717
Ireland,0.002302667704727877,0.0073722060156408645,0.00046265982561890964,0.001785311826975912,0.0005882398460068724,0.0029383070608498007,0.0008278064142176482,0.0020590853125605716
Denmark,0.0017764399163451433,0.007781222708144509,0.001939957973931202,0.0017663828915106448,8.145485982093778e-06,0.0,0.0,0.0
New Zealand,0.0017405670093295618,0.004565358198466511,0.0,0.0,0.0049240820342753905,0.0016982654673977032,0.0,0.0
Kosovo,0.0016845010247086352,0.0,9.2586427728328e-06,0.0026151890408272625,0.006804874747540844,0.0013519210206187232,0.0,0.0
Barbados,0.001296329896491301,0.003487441687949843,0.00029110262129877247,1.0077274995897595e-05,0.0006620922522445226,1.8735789238430136e-05,0.0014287555440694883,0.006025567310448736
Morocco,0.0011995493278004158,0.0033145072841566773,0.0031596480027405584,0.0010875286232059217,5.5117788478834566e-05,0.00012338855484166135,0.0,0.0
Philippines,0.001040663921269754,0.0018361038607983984,0.0006949428340079208,4.221561146930074e-06,2.0363714955234445e-06,0.0023513861584449343,0.0016736291564917124,0.00021596535902206691
Belgium,0.0009337444358589137,0.0002587825087787942,2.8865180409419905e-05,0.0006109007517783327,0.0004109397677966311,0.001386247663044847,0.003212844359843422,9.900735096132704e-05
India,0.0009119727808323027,0.0,0.0,0.0,0.0,0.002402731142762676,0.003136730434565704,0.0006164545534514416
Thailand,0.0008969286201828516,0.0,0.0,0.0,0.0,0.0038645241845581936,0.0017893520127342348,6.48899529949238e-05
Japan,0.0008291027635042476,0.00011831629853788571,0.0001458236236721166,0.0001409456705507299,0.0002825126054789525,0.0003078022517742094,0.0028429360811719883,0.0035843336922350695
Israel,0.0007687354202748372,0.0,0.004817898154657186,9.750444455490106e-05,0.0,0.0,0.0,5.9872688588099794e-05
Chili,0.0006613815612113735,0.0,0.0,0.00018956171343634397,0.00153393076852796,0.0,0.0020308517809511377,0.0011619984366204397
Lithuania,0.0006070212877627766,0.0,0.00214800512329721,0.001743368574290284,1.3575809970156296e-07,9.234067553226283e-06,0.0,0.0
Indonesia,0.00046985456386120113,0.0,4.493164875051212e-06,2.451229053056172e-06,0.0,2.9107386852561108e-05,0.0011893475592598848,0.00437940285856978
Scotland,0.00042259259156453565,0.0,0.0,0.0,0.0,0.002177634017769537,0.000495550236877601,0.0
