author,points_sum,points in 2017,points in 2018,points in 2019,points in 2020,points in 2021,points in 2022,points in 2023
United States,0.4709348514883211,0.4879164664919987,0.5426445597508553,0.5391709807163172,0.5010325082272802,0.4108988651018719,0.3916505902990341,0.3582872887829376
United Kingdom,0.147482937467435,0.173686537751429,0.1294653719271687,0.1431893622106273,0.1266548403260746,0.148625317225908,0.1702529955800384,0.130609315543679
Puerto Rico,0.0825919031655382,0.0531260816998805,0.0549584865604673,0.0826465920085847,0.102374096920151,0.082809142274936,0.12571487822559,0.0658174779415816
Canada,0.0723131077871814,0.0654491369238752,0.0672494709979142,0.040154536373856,0.0844805005889865,0.0916237750920199,0.0816153831101349,0.0791297855922231
Colombia,0.04522055738926,0.0415718072621993,0.0462032144101516,0.0432118998999762,0.0516243252992142,0.0397650175157338,0.0355079333697255,0.0785417622037453
Australia,0.0206190992767195,0.0160311705664268,0.0167385368811907,0.0213506135902947,0.0199749037576891,0.0338092669890111,0.0179544292613953,0.0147342003835167
Spain,0.0202769011258135,0.021436436907421,0.0202632204909014,0.0220057726444199,0.0142305712850169,0.0130581090503209,0.0273475039288415,0.0286599522289538
South Korea,0.0177854164915477,0.0022108638575625,0.005854729988703,0.0087424445971166,0.0221763571024497,0.0230164263801676,0.0321269141223935,0.0477332166652041
Brazil,0.0116156600050196,0.0053850425085696,0.0058097983399525,0.0029879120362836,0.0048358392694693,0.0220769157679072,0.0222173039071111,0.0264995181753654
France,0.0096595200617536,0.0192199323891142,0.0098125274610663,0.0045014097971539,0.0072747335306079,0.0067260814230634,0.0069041673048855,0.0187458935084791
Sweden,0.0093468699137007,0.0169686208667026,0.0128918431221014,0.0070312143592997,0.0049470251531249,0.0114498868938241,0.0061724479736354,0.0012476264158302
Mexico,0.0092314995652767,0.0005219674844799,0.0107600406236567,0.0023545416848522,0.0007610599069269,0.0063309124017117,0.0076103128970592,0.0756801933229983
Germany,0.0091677402229144,0.0106344340050947,0.0052425703136052,0.0176630118387554,0.0088552293273335,0.008736989221121,0.0047045895752262,0.0072869075823209
Argentina,0.0081428603101011,0.0,0.0044182787938003,0.0103697883295622,0.0027550748753435,0.014833704257351,0.0124844381436029,0.017411245428841
Netherlands,0.0075207666097439,0.007890871649929,0.0096080203809958,0.0084935086688396,0.0013262208759845,0.0151199157424791,0.0046876191388734,0.0023952420278177
Cuba,0.0070758408557491,0.0080072618691884,0.0136428824387918,0.0087060846994963,0.0067463630065694,0.004033213201237,0.0030476609475508,0.0030747468706486
Italy,0.0060969833611514,3.989735648370564e-06,0.0027619348330428,0.0065043362922845,0.0055001036513091,0.0171040358228261,0.0056924511585443,0.003065437057814
Norway,0.005621483705553,0.0164675651001038,0.0075059000020287,0.0042946894803462,0.003267968976016,0.0038335432187817,0.0003967640785457,0.0010984464208006
Panama,0.0037998038489664,0.0,0.0,0.0053750005957848,0.0076725047627335,0.0103530083973934,0.0008061238421244,3.010358644094403e-06
other,0.035496197348251705,0.05347181293037473,0.034168612683604715,0.021246300176147256,0.023509773157717788,0.035795874022333196,0.04310549313568589,0.039978733488597325
